2026-04-29T01:01:12+08:00	1	#1 项目骨架与命令行入口	completed	6	true	100	100	feature/issue-1	
2026-04-29T01:14:03+08:00	2	#2 TCP 通信协议定义与解析	completed	6	true	100	100	feature/issue-2	
2026-04-29T01:27:09+08:00	3	#3 base62 房间密码编解码	completed	4	true	88	88	feature/issue-3	
2026-04-29T01:50:57+08:00	4	#4 TCP 服务端基础 — 监听与连接管理	completed	6	true	92	92	feature/issue-4	
2026-04-29T02:04:45+08:00	5	#5 TCP 客户端基础 — 连接与收发消息	completed	3	true	87	87	feature/issue-5	
2026-04-29T02:25:48+08:00	6	#6 伪装显示模块 — 日志风格输出	completed	7	true	92	92	feature/issue-6	
2026-04-29T02:56:55+08:00	7	#7 裁判交互式配置与创建房间	completed	7	true	92	92	feature/issue-7	
2026-04-29T03:36:52+08:00	8	#8 玩家通过密码连接并加入房间	completed	7	true	92	92	feature/issue-8	
2026-04-29T04:10:51+08:00	9	#9 裁判等待玩家与启动控制	completed	3	true	91	91	feature/issue-9	
2026-04-29T04:41:53+08:00	10	#10 角色定义与随机分配	completed	9	true	100	100	feature/issue-10	
2026-04-29T05:30:25+08:00	11	#11 词语输入与分发	completed	10	true	85	85	feature/issue-11	
2026-04-29T06:32:40+08:00	12	#12 描述环节 — 轮流发言与广播	completed	9	true	97	97	feature/issue-12	
2026-04-29T08:46:10+08:00	14	#14 平票 PK 机制 — 多轮 PK 描述+投票	completed	10	true	88	88	feature/issue-14	
